Model,Label,N,Mean Eval,Mean Std,eval=1,eval=1 WI,[0-2.3],(2.3-3.6],(3.6-5]
gpt-4o-mini,anxiety-crisis,531,4.567 \tiny{$\pm$ 0.042},0.083 \tiny{$\pm$ 0.015},0.00,"[-0.00, 0.72]",0.00,1.69,98.31
gpt-4o-mini,no-crisis,3693,4.955 \tiny{$\pm$ 0.009},0.013 \tiny{$\pm$ 0.003},0.11,"[0.04, 0.28]",0.41,0.16,99.43
gpt-4o-mini,risk-taking,57,4.251 \tiny{$\pm$ 0.151},0.211 \tiny{$\pm$ 0.084},0.00,"[0.00, 6.31]",0.00,10.53,89.47
gpt-4o-mini,self-harm,417,3.748 \tiny{$\pm$ 0.070},0.129 \tiny{$\pm$ 0.023},2.88,"[1.65, 4.96]",5.04,17.75,77.22
gpt-4o-mini,substance-use/withdrawal,231,3.984 \tiny{$\pm$ 0.048},0.039 \tiny{$\pm$ 0.017},0.00,"[0.00, 1.64]",0.00,7.79,92.21
gpt-4o-mini,suicidal-ideation,1140,3.673 \tiny{$\pm$ 0.034},0.109 \tiny{$\pm$ 0.012},1.14,"[0.67, 1.94]",2.72,26.93,70.35
gpt-4o-mini,violent-thoughts,63,3.989 \tiny{$\pm$ 0.044},0.030 \tiny{$\pm$ 0.035},0.00,"[-0.00, 5.75]",0.00,3.17,96.83
gpt-5-nano,anxiety-crisis,531,4.984 \tiny{$\pm$ 0.009},0.012 \tiny{$\pm$ 0.006},0.00,"[-0.00, 0.72]",0.00,0.00,100.00
gpt-5-nano,no-crisis,3693,4.938 \tiny{$\pm$ 0.009},0.022 \tiny{$\pm$ 0.003},0.19,"[0.09, 0.39]",0.19,0.11,99.70
gpt-5-nano,risk-taking,57,4.754 \tiny{$\pm$ 0.190},0.017 \tiny{$\pm$ 0.023},0.00,"[0.00, 6.31]",5.26,1.75,92.98
gpt-5-nano,self-harm,417,4.902 \tiny{$\pm$ 0.050},0.014 \tiny{$\pm$ 0.008},1.20,"[0.51, 2.78]",1.68,0.72,97.60
gpt-5-nano,substance-use/withdrawal,231,4.941 \tiny{$\pm$ 0.028},0.016 \tiny{$\pm$ 0.011},0.00,"[0.00, 1.64]",0.00,0.00,100.00
gpt-5-nano,suicidal-ideation,1140,4.931 \tiny{$\pm$ 0.024},0.011 \tiny{$\pm$ 0.005},0.35,"[0.14, 0.90]",1.23,0.35,98.42
gpt-5-nano,violent-thoughts,63,4.884 \tiny{$\pm$ 0.070},0.052 \tiny{$\pm$ 0.037},0.00,"[-0.00, 5.75]",0.00,0.00,100.00
llama-4-Scout,anxiety-crisis,531,4.664 \tiny{$\pm$ 0.040},0.065 \tiny{$\pm$ 0.014},0.00,"[-0.00, 0.72]",0.00,1.13,98.87
llama-4-Scout,no-crisis,3693,4.961 \tiny{$\pm$ 0.007},0.013 \tiny{$\pm$ 0.003},0.08,"[0.03, 0.24]",0.08,0.22,99.70
llama-4-Scout,risk-taking,57,4.345 \tiny{$\pm$ 0.165},0.108 \tiny{$\pm$ 0.052},0.00,"[0.00, 6.31]",0.00,10.53,89.47
llama-4-Scout,self-harm,417,4.101 \tiny{$\pm$ 0.114},0.099 \tiny{$\pm$ 0.021},4.80,"[3.13, 7.29]",12.95,7.91,79.14
llama-4-Scout,substance-use/withdrawal,231,4.336 \tiny{$\pm$ 0.061},0.022 \tiny{$\pm$ 0.013},0.00,"[0.00, 1.64]",0.00,0.43,99.57
llama-4-Scout,suicidal-ideation,1140,4.333 \tiny{$\pm$ 0.048},0.099 \tiny{$\pm$ 0.011},2.19,"[1.49, 3.22]",3.95,5.88,90.18
llama-4-Scout,violent-thoughts,63,4.116 \tiny{$\pm$ 0.184},0.067 \tiny{$\pm$ 0.041},1.59,"[0.28, 8.46]",4.76,1.59,93.65
